2014-11-17 22:34:37,790 | WARN  | Transport Connection to: tcp://127.0.0.1:36692 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36692@61616
2014-11-17 22:34:37,791 | WARN  | Transport Connection to: tcp://127.0.0.1:36682 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36682@61616
2014-11-17 22:34:37,796 | WARN  | Transport Connection to: tcp://127.0.0.1:36630 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36630@61616
2014-11-17 22:34:37,819 | WARN  | Transport Connection to: tcp://127.0.0.1:36693 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36693@61616
2014-11-17 22:34:39,152 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-53044-1416281617096-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-39
2014-11-17 22:34:39,153 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-39
2014-11-17 22:34:39,153 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-39
2014-11-17 22:34:39,154 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-39
2014-11-17 22:34:39,155 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-39
2014-11-17 22:34:39,220 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-39
2014-11-17 22:34:39,232 | INFO  | PListStore:[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-39
2014-11-17 22:34:39,232 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-39
2014-11-17 22:34:39,232 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-39
2014-11-17 22:34:39,234 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-39
2014-11-17 22:34:39,533 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-53044-1416281617096-0:1) uptime 1 minute | org.apache.activemq.broker.BrokerService | Thread-39
2014-11-17 22:34:39,533 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-53044-1416281617096-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-39
2014-11-17 22:34:39,533 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@52ac20: startup date [Mon Nov 17 22:33:31 EST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-39
2014-11-17 22:34:39,569 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-39
2014-11-17 22:34:42,249 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@2e439a: startup date [Mon Nov 17 22:34:42 EST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2014-11-17 22:34:45,411 | INFO  | PListStore:[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2014-11-17 22:34:45,506 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:34:46,545 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:34:46,584 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:34:48,729 | INFO  | Recovery replayed 91011 operations from the journal in 2.169 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:34:48,952 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-50106-1416281688789-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:34:49,481 | INFO  | Listening for connections at: tcp://rami-Compaq-621:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:34:49,483 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:34:49,501 | INFO  | Listening for connections at: amqp://rami-Compaq-621:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:34:49,507 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:34:49,524 | INFO  | Listening for connections at: stomp://rami-Compaq-621:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:34:49,527 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:34:49,539 | INFO  | Listening for connections at: mqtt://rami-Compaq-621:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-11-17 22:34:49,539 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:34:49,979 | INFO  | Listening for connections at ws://rami-Compaq-621:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2014-11-17 22:34:49,987 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-11-17 22:34:49,988 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-50106-1416281688789-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:34:49,988 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
